Purchase Price,SKU,Image,Manufacturer,URL,Sale Price,Price,Description,Markup,Item Type,Item Name
0.00,1004669572,https://images.thdstatic.com/productImages/0da44f97-3e1c-48de-a9e3-04b4fb1e7388/svn/certainteed-fiberglass-insulation-645737-64_1000.jpg,CertainTeed,https://www.homedepot.com/p/CertainTeed-R38-Unfaced-Fiberglass-Insulation-Batt-24-in-x-48-in-8-Pieces-645737/330975719,0.00,0.00,"CertainTeed's Sustainable Insulation is a high-performance insulation solution designed to provide superior energy efficiency, comfort, and sustainability. Itis easy to install and can be cut to fit any application. Its lightweight design makes it easy to handle, while its exceptional durability ensures that it maintains its shape and performance over time.",43%,Cost of Goods Sold,CertainTeed R38 Unfaced Fiberglass Insulation Batt 24 in. x 48 in. (8-Pieces)
0.00,1006854967,https://images.thdstatic.com/productImages/c57c9d69-3943-4097-bc9f-d74295580a58/svn/white-casing-236prdpk35-64_1000.jpg,Unbranded,https://www.homedepot.com/p/Doorpack-9-16-in-x-3-1-4-in-x-84-in-Primed-Pine-Casing-Molding-5-Pack-236PRDPK35/318380981,0.00,0.00,Casing allows you to trim windows and doors. It covers the gap between door jambs and wall. Gives a finished architectural look to any room.,43%,Cost of Goods Sold,Unbranded Doorpack 9/16 in. x 3-1/4 in. x 84 in. Primed Pine Casing Molding(5-Pack)
0.00,165514,https://images.thdstatic.com/productImages/c2a0d14e-8f50-4488-b938-13074dbc0211/svn/enstron-particle-board-165514-64_1000.jpg,Enstron,https://www.homedepot.com/p/Enstron-1-2-in-x-4-ft-x-8-ft-Particleboard-Panel-165514/202821140,0.00,0.00,Enstron Underlayment is quite simply the most environmentally sound underlayment choice for use in installation of your resilient flooring project. The product is easy to use and install. Enstron is the most value priced underlayment in its class.,43%,Cost of Goods Sold,Enstron 1/2 in. x 4 ft. x 8 ft. Particleboard Panel
0.00,1002368246,https://images.thdstatic.com/productImages/5b4d7f11-d3e8-4333-aded-035a0f90cc32/svn/primed-white-builder-s-choice-baseboard-hdfb306-64_1000.jpg,Builder's Choice,https://www.homedepot.com/p/Builder-s-Choice-306-1-2-in-x-3-1-2-in-Craftsman-Primed-MDF-Baseboard-Moulding-Sold-by-Linear-Foot-HDFB306/301366955,0.00,0.00,"Add character and lasting value to your home with Builders Choice primed MDF base molding. Featuring a smooth white surface, our Craftsman-style base molding is primed and ready to paint. Baseboards create an elegant transition from floor to wall and offer protection from kicks, bumps, furniture, and more.",43%,Cost of Goods Sold,Builder's Choice 306 1/2 in. x  3−1/2 in. Craftsman Primed MDF Baseboard Moulding (Sold by Linear Foot)
0.00,272913,https://images.thdstatic.com/productImages/df9de239-e379-40f8-b095-7ad01d0a3541/svn/primed-white-builder-s-choice-baseboard-hdfb330-64_1000.jpg,Builder's Choice,https://www.homedepot.com/p/Builder-s-Choice-330-5-8-in-x-5-in-Primed-MDF-Baseboard-Moulding-Sold-by-Linear-Foot-HDFB330/206005438,0.00,0.00,"Featuring a pre-primed surface, MDF base is a great way to update your rooms and highlight the special care that has gone into your property. Moldings can increase the value of your home or business estate and are an inexpensive way to add character and flair to any home. Base molding works great to protect the wall at the floor.",43%,Cost of Goods Sold,Builder's Choice 330 5/8 in. x  5 in. Primed MDF Baseboard Moulding (Sold by Linear Foot)
0.00,326333,https://images.thdstatic.com/productImages/f1de4d82-95f1-4fe0-8768-ed23a1b88223/svn/primed-white-builder-s-choice-baseboard-hdfb683-64_1000.jpg,Builder's Choice,https://www.homedepot.com/p/Builder-s-Choice-LWM683-9-16-in-x-2-1-4-in-Primed-MDF-Base-Moulding-HDFB683/203364659,0.00,0.00,"Featuring a pre-primed surface, MDF base is a great way to update your rooms and highlight the special care that has gone into your property. Mouldings can increase the value of your home or business estate and are an inexpensive way to add character and flair to any home. Base moulding works great to protect the wall at the floor.",43%,Cost of Goods Sold,Builder's Choice LWM683 9/16 in. x 2-1/4 in. Primed MDF Base Moulding
0.00,1003819599,https://images.thdstatic.com/productImages/ab500703-5c0e-4246-bf7b-b0a4c920dba0/svn/white-builder-s-choice-casing-hdfb473-dp-64_1000.jpg,Builder's Choice,https://www.homedepot.com/p/Builder-s-Choice-Pro-Pack-473-9-16-in-x-2-1-4-in-x-84-in-Craftsman-Primed-MDF-Casing-5-Pack-35-Total-Linear-Feet-HDFB473-DP/306717308,0.00,0.00,"Featuring a sleek white surface, primed MDF is a great way to update your rooms and highlight the special care that has gone into your property. Moldings can increase the value of your home or business estate and are an inexpensive way to add character and flair to any home. Casings work great to cover the gap between the drywall and the door or window frame.",43%,Cost of Goods Sold,Builder's Choice Pro Pack 473 9/16 in. x  2 1/4 in. x  84 in. Craftsman Primed MDF Casing (5-Pack − 35 Total Linear Feet)
0.00,1002558150,https://images.thdstatic.com/productImages/cba2908d-fe8a-4286-9147-fb6733520235/svn/primed-white-builders-choice-baseboard-hdfb2388-pp-64_1000.jpg,Builders Choice,https://www.homedepot.com/p/Builders-Choice-1-2-in-D-x-5-1-2-in-W-x-144-in-L-OP2388-Craftsman-Primed-MDF-Baseboard-Moulding-Pack-of-6-HDFB2388-PP/326477896,0.00,0.00,"Add character and lasting value to your home with Builders Choice primed MDF base moulding. Featuring a smooth white surface, our Craftsman-style base moulding is primed and ready to paint. Baseboards create an elegant transition from floor to wall and offer protection from kicks, bumps, furniture and more.",43%,Cost of Goods Sold,Builders Choice 1/2 in. D x 5-1/2 in. W x 144 in. L OP2388 Craftsman Primed MDF Baseboard Moulding (Pack of 6)
0.00,686985,https://images.thdstatic.com/productImages/f3f412f2-8636-4aec-b186-8e8832a641a4/svn/primed-white-builders-choice-baseboard-hdfb025-64_1000.jpg,Builders Choice,https://www.homedepot.com/p/Builders-Choice-25-3-8-in-x-2-1-4-in-Primed-MDF-Baseboard-Moulding-Sold-by-Linear-Foot-HDFB025/206005240,0.00,0.00,"Featuring a pre-primed surface, MDF base is a great way to update your rooms and highlight the special care that has gone into your property. Mouldings can increase the value of your home or business estate and are an inexpensive way to add character and flair to any home. Base moulding works great to protect the wall at the floor.",43%,Cost of Goods Sold,Builders Choice 25 3/8 in. x 2−1/4 in. Primed MDF Baseboard Moulding (Sold by Linear Foot)
0.00,299725,https://images.thdstatic.com/productImages/2aa4cad8-99cf-432f-9e24-89f235582c3c/svn/primed-white-builders-choice-crown-moulding-hdfb149-64_1000.jpg,Builders Choice,https://www.homedepot.com/p/Builders-Choice-49-9-16-in-x-1-in-Primed-MDF-Crown-Moulding-Sold-by-Linear-Foot-HDFB149/206061938,0.00,0.00,"Featuring a sleek white surface, primed MDF is a great way to update your rooms and highlight the special care that has gone into your property. MDF crown molding can increase the value of your home or business estate and are an inexpensive way to add character and flair to any home. Crown molding works great to soften the transition from the wall to the ceiling.",43%,Cost of Goods Sold,Builders Choice 49 9/16 in. x 1 in. Primed MDF Crown Moulding (Sold by Linear Foot)
